"term","Mike_Count"
"at the end of the",178
"in the middle of the",101
"the end of the day",71
"by the end of the",62
"for the first time in",62
"for those of you who",60
"i thought it would be",59
"the other side of the",50
"is one of the most",48
"on the other side of",45
"there are a lot of",45
"for the rest of the",43
"this is one of the",43
"the rest of the world",39
"if you would like to",37
"is going to be a",37
"thank you so much for",37
"i cant wait to see",35
"all you have to do",34
"you have to do is",34
"a couple of weeks ago",33
"at the top of the",33
"the middle of the night",33
"at the beginning of the",32
"and the rest of the",31
"is one of the best",31
"has nothing to do with",30
"i am looking forward to",30
"to be a part of",30
"at the bottom of the",29
"a couple of years ago",28
"a means for sites to",28
"a participant in the amazon",28
"advertising and linking to amazon",28
"advertising fees by advertising and",28
"amazon eu associates programmes designed",28
"amazon services llc and amazon",28
"amazon services llc andor amazon",28
"and amazon eu associates programmes",28
"and is subject to change",28
"appears on this website comes",28
"as is and is subject",28
"associates programmes designed to provide",28
"by advertising and linking to",28
"certain content that appears on",28
"change or removal at any",28
"comes from amazon services llc",28
"content is provided as is",28
"content that appears on this",28
"designed to provide a means",28
"earn advertising fees by advertising",28
"eu associates programmes designed to",28
"fees by advertising and linking",28
"for sites to earn advertising",28
"from amazon services llc andor",28
"in the amazon services llc",28
"is a participant in the",28
"is and is subject to",28
"is one of my favorite",28
"is provided as is and",28
"is subject to change or",28
"its going to be a",28
"llc and amazon eu associates",28
"means for sites to earn",28
"on this website comes from",28
"or removal at any time",28
"participant in the amazon services",28
"programmes designed to provide a",28
"provide a means for sites",28
"provided as is and is",28
"services llc and amazon eu",28
"services llc andor amazon eu",28
"sites to earn advertising fees",28
"subject to change or removal",28
"that appears on this website",28
"the amazon services llc and",28
"this content is provided as",28
"this website comes from amazon",28
"to change or removal at",28
"to earn advertising fees by",28
"to provide a means for",28
"website comes from amazon services",28
"an hour and a half",27
"let me know what you",27
"on the side of the",27
"the rest of the day",27
"blog is a participant in",26
"it was going to be",26
"cant wait to see what",25
"i have no idea what",25
"i have to say that",25
"to be one of the",25
"i dont know if i",24
"in the back of the",24
"there is a lot of",24
"to figure out how to",24
"to get out of the",24
"when i was a kid",24
"and at the same time",23
"at the same time i",23
"due to the fact that",23
"each and every one of",23
"every once in a while",23
"i dont know about you",23
"if you are interested in",23
"it was one of the",23
"this is going to be",23
"university of chicago chicago illinois",23
"a few weeks ago i",22
"but at the same time",22
"dont know about you but",22
"that i was going to",22
"was a bit of a",22
"what do you think of",22
"i have to say i",21
"i was able to get",21
"im going to have to",21
"it is going to be",21
"so i thought i would",21
"to the rest of the",21
"dont get me wrong i",20
"i am not going to",20
"i would love to hear",20
"it is one of the",20
"let me know if you",20
"spend a lot of time",20
"to the end of the",20
"turned out to be a",20
"as much as i do",19
"dont know what to do",19
"for the first time since",19
"i dont know how to",19
"i dont know why i",19
"i have a lot of",19
"i have no idea how",19
"if you dont want to",19
"if you want to be",19
"is a great way to",19
"it is what it is",19
"know what to do with",19
"the end of the world",19
"when i was a child",19
"with the rest of the",19
"you know what i mean",19
"as a result of the",18
"at the back of the",18
"if you want to see",18
"in the middle of a",18
"it was so much fun",18
"it will be interesting to",18
"me know what you think",18
"president of the united states",18
"the end of the month",18
"this is the first time",18
"was going to be a",18
"when it comes to the",18
"will be interesting to see",18
"all i can say is",17
"and i cant wait to",17
"for a chance to win",17
"here are some of the",17
"i am going to be",17
"i had no idea what",17
"in the center of the",17
"it was a lot of",17
"on the other hand is",17
"one of the most important",17
"the end of the week",17
"there are a number of",17
"to come up with a",17
"what it means to be",17
"you will be able to",17
"and this is what i",16
"as soon as i can",16
"as you can see i",16
"at the end of this",16
"cant wait to see the",16
"for the rest of my",16
"going to be able to",16
"i dont want to be",16
"i have to admit that",16
"i knew i had to",16
"if you are looking for",16
"if you have any questions",16
"in the form of a",16
"it seems to me that",16
"may or may not have",16
"the end of the year",16
"the rest of my life",16
"the second half of the",16
"those of you who are",16
"was one of the first",16
"what i came up with",16
"a year and a half",15
"all at the same time",15
"all the way to the",15
"but i dont want to",15
"but if you want to",15
"hope you all have a",15
"i dont know what to",15
"if you dont have a",15
"it was one of those",15
"it would be nice to",15
"on the other hand i",15
"one of the reasons i",15
"over and over and over",15
"over the past few years",15
"season with salt and pepper",15
"so much for stopping by",15
"the other end of the",15
"the side of the road",15
"the united states of america",15
"the university of chicago chicago",15
"this is one of those",15
"this was the first time",15
"thought it would be a",15
"to find a way to",15
"to the top of the",15
"was one of the most",15
"and last but not least",14
"at the end of a",14
"at the same time as",14
"bake for minutes or until",14
"but for the most part",14
"i do not want to",14
"i dont know if it",14
"i had a lot of",14
"i have a hard time",14
"i have to admit i",14
"i know a lot of",14
"i know that i am",14
"i think im going to",14
"i was going to be",14
"if you are going to",14
"in the history of the",14
"in the new york times",14
"in the next few weeks",14
"in the s and s",14
"it turned out to be",14
"its been a while since",14
"nothing to do with the",14
"on the back of the",14
"on the part of the",14
"over the top of the",14
"spent a lot of time",14
"take a look at the",14
"thank you to everyone who",14
"thanks for the shout out",14
"the first time in a",14
"the good news is that",14
"to go back to the",14
"want to be able to",14
"we had a great time",14
"what i want to do",14
"and every one of you",13
"and for the first time",13
"and i have to say",13
"and i look forward to",13
"and i was able to",13
"as a matter of fact",13
"as much as i love",13
"as you can see the",13
"at the same time the",13
"at the start of the",13
"at this time of year",13
"be interesting to see how",13
"be sure to check out",13
"been a while since i",13
"but at the end of",13
"conference the university of chicago",13
"for a long time and",13
"for the first time and",13
"has been one of the",13
"i am so excited to",13
"i decided to make a",13
"i feel like i have",13
"i hope you all have",13
"i wont be able to",13
"if you want to know",13
"im not the only one",13
"in and out of the",13
"is a bit of a",13
"it doesnt have to be",13
"may or may not be",13
"need to be able to",13
"on the edge of the",13
"one of the things i",13
"one of the things that",13
"over the course of the",13
"the rest of the week",13
"there are a couple of",13
"to see if i could",13
"to the bottom of the",13
"to the front of the",13
"trying to figure out what",13
"was a lot of fun",13
"a breath of fresh air",12
"a long way to go",12
"all i can do is",12
"all i have to do",12
"all you need to do",12
"as far as i can",12
"at the time of the",12
"at the top of my",12
"basic program weekend conference the",12
"for a couple of hours",12
"for those of us who",12
"had a lot of fun",12
"happy mothers day to all",12
"have to say that i",12
"hope you all had a",12
"i am going to have",12
"i am going to try",12
"i fell in love with",12
"i have been working on",12
"i hope you are all",12
"i was the only one",12
"if you want to make",12
"im going to try to",12
"it has been a long",12
"it was the first time",12
"its a great way to",12
"much in the way of",12
"of the rest of the",12
"program weekend conference the university",12
"so there you have it",12
"the rest of your life",12
"to the fact that i",12
"to the point where i",12
"weekend conference the university of",12
"with the exception of the",12
"a lot of fun and",11
"all i know is that",11
"all in the name of",11
"am not a fan of",11
"and i are going to",11
"as far as i know",11
"as far as im concerned",11
"as soon as i get",11
"at the other end of",11
"dont have to worry about",11
"for a couple of weeks",11
"for a very long time",11
"for the first time i",11
"for the most part i",11
"for the rest of your",11
"from the rest of the",11
"have anything to do with",11
"have no choice but to",11
"he was one of the",11
"hope you are having a",11
"i can tell you that",11
"i cant tell you how",11
"i did not want to",11
"i do say so myself",11
"i dont think ive ever",11
"i had a great time",11
"i had so much fun",11
"i have a list of",11
"i have been trying to",11
"i have been wanting to",11
"i hope you have a",11
"i like the idea of",11
"i like to think that",11
"i might be able to",11
"i wanted to make a",11
"i was in high school",11
"i will be able to",11
"if i do say so",11
"im a big fan of",11
"in item b above pp",11
"in one way or another",11
"in the middle of nowhere",11
"in the name of jesus",11
"in the name of the",11
"is what i came up",11
"it would be interesting to",11
"know a lot of people",11
"level mp cost duration seconds",11
"may not be able to",11
"not a big fan of",11
"on the top of the",11
"on the way to the",11
"one of the first things",11
"only a matter of time",11
"thank you for the rt",11
"thanks so much for the",11
"that i am going to",11
"that i was able to",11
"the past couple of weeks",11
"the rest of the ingredients",11
"the right thing to do",11
"there is no such thing",11
"there is so much to",11
"there was a lot of",11
"there were a lot of",11
"this is one of my",11
"to be part of the",11
"to get back into the",11
"to say that i am",11
"towards the end of the",11
"was the first time i",11
"we are going to be",11
"we would love to see",11
"while at the same time",11
"will never be the same",11
"will not be able to",11
"you should be able to",11
"a chance to win a",10
"a lot of people who",10
"a matter of time before",10
"accepted and allowed myself to",10
