"term","Mike_Count"
"at the end of the day",57
"all you have to do is",33
"on the other side of the",31
"a means for sites to earn",28
"a participant in the amazon services",28
"advertising fees by advertising and linking",28
"amazon eu associates programmes designed to",28
"amazon services llc and amazon eu",28
"amazon services llc andor amazon eu",28
"and amazon eu associates programmes designed",28
"and is subject to change or",28
"appears on this website comes from",28
"as is and is subject to",28
"associates programmes designed to provide a",28
"by advertising and linking to amazon",28
"certain content that appears on this",28
"change or removal at any time",28
"comes from amazon services llc andor",28
"content is provided as is and",28
"content that appears on this website",28
"designed to provide a means for",28
"earn advertising fees by advertising and",28
"eu associates programmes designed to provide",28
"fees by advertising and linking to",28
"for sites to earn advertising fees",28
"from amazon services llc andor amazon",28
"in the amazon services llc and",28
"in the middle of the night",28
"is a participant in the amazon",28
"is and is subject to change",28
"is provided as is and is",28
"is subject to change or removal",28
"llc and amazon eu associates programmes",28
"means for sites to earn advertising",28
"on this website comes from amazon",28
"participant in the amazon services llc",28
"programmes designed to provide a means",28
"provide a means for sites to",28
"provided as is and is subject",28
"services llc and amazon eu associates",28
"sites to earn advertising fees by",28
"subject to change or removal at",28
"that appears on this website comes",28
"the amazon services llc and amazon",28
"this content is provided as is",28
"this website comes from amazon services",28
"to change or removal at any",28
"to earn advertising fees by advertising",28
"to provide a means for sites",28
"website comes from amazon services llc",28
"blog is a participant in the",26
"i dont know about you but",20
"let me know what you think",18
"it will be interesting to see",16
"the university of chicago chicago illinois",15
"at the end of the month",14
"each and every one of you",13
"for the first time in a",13
"i cant wait to see what",13
"i thought it would be a",13
"basic program weekend conference the university",12
"but at the end of the",12
"for the rest of the day",12
"for those of you who are",12
"program weekend conference the university of",12
"weekend conference the university of chicago",12
"at the other end of the",11
"if i do say so myself",11
"is what i came up with",11
"all i have to do is",10
"dont know what to do with",10
"for the rest of my life",10
"from the point of view of",10
"have accepted and allowed myself to",10
"i dont know what to do",10
"i have accepted and allowed myself",10
"i have to say that i",10
"i hope you all have a",10
"i know a lot of people",10
"it is going to be a",10
"it is one of the most",10
"and in item b above pp",9
"dont know about you but i",9
